"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","129,870,928","100,631,498","97,109,041","14,324,068","24,041,718","40,377,974","6,649,381","17,232,335","3,300,524","31,307,444","12,066,237","","83,304,153","12,749,115","25,982,010","25,803,405","8,638,270","7,233,708","2,897,645","","333,287,562","","202,889,017","40,603,656","3,205,331","19,696,980","665,807","24,444,482","41,782,289","63,553,639","192,153,076"
"        Margin of Error","","±136,261","±135,933","±140,160","±72,225","±117,538","±74,897","±38,227","±84,556","±34,572","±130,212","±68,876","","±133,863","±52,021","±79,666","±112,033","±58,514","±43,417","±34,233","","*****","","±137,138","±83,789","±45,868","±42,836","±17,632","±162,384","±162,670","±7,639","±52,214"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","129,870,928","77.5%","74.8%","11.0%","18.5%","31.1%","5.1%","13.3%","2.5%","24.1%","9.3%","","83,304,153","15.3%","31.2%","31.0%","10.4%","8.7%","3.5%","","333,287,562","","60.9%","12.2%","1.0%","5.9%","0.2%","7.3%","12.5%","19.1%","57.7%"
"        Margin of Error","","±136,261","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±133,863","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","*****","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","105,555","108,024","105,132","46,173","28,497","22,349","10,674","(X)","3,916","31,390","15,225","","124,663","69,448","95,544","167,659","107,298","186,884","142,266","","41,804","","47,943","29,385","25,579","53,030","30,482","25,473","29,752","26,830","49,045"
"        Margin of Error","","±198","±202","±189","±456","±308","±35","±53","(X)","±58","±133","±96","","±281","±446","±407","±498","±721","±869","±1,230","","±92","","±111","±159","±396","±334","±1,430","±227","±201","±145","±114"
"St. Louis city, MO; St. Louis, MO-IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","148,348","115,355","112,458","14,841","19,156","39,247","10,434","28,127","4,508","28,834","9,554","","64,079","6,767","22,095","19,771","10,523","2,936","1,987","","286,578","","132,945","120,785","341","11,021","137","5,664","15,685","12,927","128,817"
