"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Baltimore city, MD; Baltimore-Columbia-Towson, MD Metro Area!!Estimate","Baltimore city, MD; Baltimore-Columbia-Towson, MD Metro Area!!Margin of Error"
"Total:","63,553,639","±7,639","36,124","*****"
"    Male:","32,180,345","±17,419","18,711","±598"
"        Under 5 years","2,467,419","±10,128","2,502","*****"
"        5 to 9 years","2,561,885","±22,033","1,115","±615"
"        10 to 14 years","2,836,603","±22,697","2,551","±616"
"        15 to 17 years","1,695,924","±9,419","1,108","±598"
"        18 and 19 years","1,100,530","±8,475","824","±340"
"        20 to 24 years","2,722,136","±12,083","854","±340"
"        25 to 29 years","2,504,898","±10,496","1,391","*****"
"        30 to 34 years","2,518,187","±10,854","1,566","*****"
"        35 to 44 years","4,748,729","±12,278","2,919","*****"
"        45 to 54 years","3,903,448","±13,334","1,871","*****"
"        55 to 64 years","2,799,925","±8,879","1,418","±296"
"        65 to 74 years","1,523,132","±8,700","388","±326"
"        75 to 84 years","615,656","±8,602","108","±120"
"        85 years and over","181,873","±7,186","96","±104"
"    Female:","31,373,294","±16,800","17,413","±598"
"        Under 5 years","2,383,804","±9,970","2,367","*****"
"        5 to 9 years","2,467,718","±25,398","2,055","±718"
"        10 to 14 years","2,693,493","±26,080","1,388","±718"
"        15 to 17 years","1,625,167","±8,717","578","±598"
"        18 and 19 years","1,034,597","±9,465","894","±320"
"        20 to 24 years","2,593,074","±13,481","926","±319"
"        25 to 29 years","2,376,834","±11,574","1,560","*****"
"        30 to 34 years","2,315,082","±9,211","1,477","*****"
"        35 to 44 years","4,347,323","±11,851","2,545","*****"
"        45 to 54 years","3,745,434","±9,235","1,652","*****"
"        55 to 64 years","2,842,265","±8,281","1,045","*****"
"        65 to 74 years","1,755,301","±8,224","400","±243"
"        75 to 84 years","860,743","±11,427","185","±187"
"        85 years and over","332,459","±9,664","341","±238"
