"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Kansas City city, KS; Kansas City, MO-KS Metro Area!!Estimate","Kansas City city, KS; Kansas City, MO-KS Metro Area!!Margin of Error"
"Total:","63,553,639","±7,639","51,090","±616"
"    Male:","32,180,345","±17,419","26,798","±278"
"        Under 5 years","2,467,419","±10,128","2,426","±116"
"        5 to 9 years","2,561,885","±22,033","2,445","±786"
"        10 to 14 years","2,836,603","±22,697","2,905","±790"
"        15 to 17 years","1,695,924","±9,419","1,738","±130"
"        18 and 19 years","1,100,530","±8,475","1,103","±4"
"        20 to 24 years","2,722,136","±12,083","2,442","±111"
"        25 to 29 years","2,504,898","±10,496","1,839","±2"
"        30 to 34 years","2,518,187","±10,854","1,645","±2"
"        35 to 44 years","4,748,729","±12,278","3,686","±4"
"        45 to 54 years","3,903,448","±13,334","3,319","±120"
"        55 to 64 years","2,799,925","±8,879","1,900","±81"
"        65 to 74 years","1,523,132","±8,700","718","±306"
"        75 to 84 years","615,656","±8,602","282","±244"
"        85 years and over","181,873","±7,186","350","±265"
"    Female:","31,373,294","±16,800","24,292","±418"
"        Under 5 years","2,383,804","±9,970","2,352","±132"
"        5 to 9 years","2,467,718","±25,398","2,377","±600"
"        10 to 14 years","2,693,493","±26,080","2,471","±641"
"        15 to 17 years","1,625,167","±8,717","1,651","±2"
"        18 and 19 years","1,034,597","±9,465","1,191","±711"
"        20 to 24 years","2,593,074","±13,481","2,077","±712"
"        25 to 29 years","2,376,834","±11,574","1,851","±3"
"        30 to 34 years","2,315,082","±9,211","1,543","±79"
"        35 to 44 years","4,347,323","±11,851","3,008","±102"
"        45 to 54 years","3,745,434","±9,235","2,656","±7"
"        55 to 64 years","2,842,265","±8,281","1,692","±2"
"        65 to 74 years","1,755,301","±8,224","920","±2"
"        75 to 84 years","860,743","±11,427","361","±123"
"        85 years and over","332,459","±9,664","142","±123"
